NumerTestu,Wariant,ShellSort,MergeSort,QuickSort
66,0.000% posortowana,45400,67300,38500
66,25.000% posortowana,44200,78300,42900
66,50.000% posortowana,38400,45800,34800
66,75.000% posortowana,46600,44700,36600
66,95.000% posortowana,24600,34500,29300
66,99.000% posortowana,13300,18900,23500
66,99.700% posortowana,5300,25100,27900
66,100.000% posortowana,5400,27500,7800
66,Tablica odwrotna,41700,56300,37000
67,0.000% posortowana,41400,54300,41800
67,25.000% posortowana,45000,62900,37400
67,50.000% posortowana,44000,50100,37100
67,75.000% posortowana,39000,39700,43100
67,95.000% posortowana,30600,30300,28600
67,99.000% posortowana,13600,29000,29900
67,99.700% posortowana,9400,18700,33100
67,100.000% posortowana,3600,25400,10600
67,Tablica odwrotna,41800,61500,38600
68,0.000% posortowana,50800,83500,50700
68,25.000% posortowana,47800,58600,40700
68,50.000% posortowana,49000,56300,52800
68,75.000% posortowana,48300,43700,41300
68,95.000% posortowana,23500,29400,25600
68,99.000% posortowana,10500,48200,23400
68,99.700% posortowana,5700,19300,50400
68,100.000% posortowana,3200,80400,8400
68,Tablica odwrotna,42600,137400,38100
69,0.000% posortowana,41000,203300,50800
69,25.000% posortowana,50600,431900,47000
69,50.000% posortowana,46400,139200,33300
69,75.000% posortowana,35800,218500,26900
69,95.000% posortowana,27300,111400,21000
69,99.000% posortowana,9500,179200,18500
69,99.700% posortowana,4700,40600,13400
69,100.000% posortowana,3200,39000,7700
69,Tablica odwrotna,63300,129300,38200
70,0.000% posortowana,53200,79700,36800
70,25.000% posortowana,69700,167300,47200
70,50.000% posortowana,54000,283200,39500
70,75.000% posortowana,43700,141500,43000
70,95.000% posortowana,22600,228300,28100
70,99.000% posortowana,10500,179100,20700
70,99.700% posortowana,4400,162000,13300
70,100.000% posortowana,3300,179000,7300
70,Tablica odwrotna,43300,88800,38700
71,0.000% posortowana,42300,76900,38000
71,25.000% posortowana,40300,79300,35400
71,50.000% posortowana,37800,59800,31200
71,75.000% posortowana,34200,55700,26500
71,95.000% posortowana,26500,50200,20500
71,99.000% posortowana,11700,49300,24200
71,99.700% posortowana,5700,44400,45900
71,100.000% posortowana,3300,43100,9000
71,Tablica odwrotna,53500,133300,48000
72,0.000% posortowana,58700,121200,46900
72,25.000% posortowana,53700,106300,51000
72,50.000% posortowana,50900,116800,41600
72,75.000% posortowana,54000,264500,41300
72,95.000% posortowana,33500,261100,28800
72,99.000% posortowana,16900,125600,20000
72,99.700% posortowana,8300,221100,38300
72,100.000% posortowana,8200,162100,13600
72,Tablica odwrotna,57400,280000,60500
73,0.000% posortowana,59700,291400,60600
73,25.000% posortowana,58700,269200,50200
73,50.000% posortowana,66500,243600,52000
73,75.000% posortowana,57200,316200,44600
73,95.000% posortowana,32300,215800,26700
73,99.000% posortowana,11100,52000,15900
73,99.700% posortowana,6800,244800,25700
73,100.000% posortowana,3900,92600,8000
73,Tablica odwrotna,48200,252000,52400
74,0.000% posortowana,51600,438400,38700
74,25.000% posortowana,42300,122100,44600
74,50.000% posortowana,42200,216400,35500
74,75.000% posortowana,34800,199000,34400
74,95.000% posortowana,22900,67500,20400
74,99.000% posortowana,11400,62300,14100
74,99.700% posortowana,9500,137300,24200
74,100.000% posortowana,5100,160000,11800
74,Tablica odwrotna,58300,306900,61500
75,0.000% posortowana,50500,255200,37300
75,25.000% posortowana,53400,233700,44400
75,50.000% posortowana,48600,219500,58400
75,75.000% posortowana,42200,218900,31100
75,95.000% posortowana,27500,202300,26200
75,99.000% posortowana,8800,82200,16000
75,99.700% posortowana,6400,51600,19500
75,100.000% posortowana,4900,39500,7800
75,Tablica odwrotna,42900,78100,39700
76,0.000% posortowana,43700,79000,37200
76,25.000% posortowana,40900,79100,38400
76,50.000% posortowana,42700,75100,33400
76,75.000% posortowana,34800,56400,28600
